home,away,home_mov,home_location,away_location
Orlando Magic,New York Knicks,14,"[-81.3792365 28.5383355, 0]","[-74.0059728 40.7127753, 0]"
San Antonio Spurs,Golden State Warriors,12,"[-98.4936282 29.4241219, 0]","[-122.4194155 37.7749295, 0]"
Washington Wizards,Portland Trail Blazers,-10,"[-77.0368707 38.9071923, 0]","[-122.6750261 45.5051064, 0]"
Atlanta Hawks,Los Angeles Clippers,-8,"[-84.3879824 33.7489954, 0]","[-118.2436849 34.0522342, 0]"
Charlotte Hornets,Boston Celtics,5,"[-80.8431267 35.2270869, 0]","[-71.0588801 42.3600825, 0]"
Detroit Pistons,Cleveland Cavaliers,11,"[-83.0457538 42.331427, 0]","[-81.6943605 41.49932, 0]"
Indiana Pacers,Utah Jazz,27,"[-86.1349019 40.2671941, 0]","[-111.0937311 39.3209801, 0]"
Memphis Grizzlies,Dallas Mavericks,10,"[-90.0489801 35.1495343, 0]","[-96.7969879 32.7766642, 0]"
Milwaukee Bucks,Denver Nuggets,6,"[-87.9064736 43.0389025, 0]","[-104.990251 39.7392358, 0]"
New Orleans Pelicans,San Antonio Spurs,14,"[-90.0715323 29.9510658, 0]","[-98.4936282 29.4241219, 0]"
Philadelphia 76ers,Phoenix Suns,5,"[-75.1652215 39.9525839, 0]","[-112.0740373 33.4483771, 0]"
Sacramento Kings,Oklahoma City Thunder,4,"[-121.4943996 38.5815719, 0]","[-97.5164276 35.4675602, 0]"
Miami Heat,Brooklyn Nets,-12,"[-80.1917902 25.7616798, 0]","[-73.9441579 40.6781784, 0]"
New York Knicks,Portland Trail Blazers,-4,"[-74.0059728 40.7127753, 0]","[-122.6750261 45.5051064, 0]"
Orlando Magic,Toronto Raptors,-2,"[-81.3792365 28.5383355, 0]","[-79.3831843 43.653226, 0]"
Washington Wizards,Los Angeles Clippers,7,"[-77.0368707 38.9071923, 0]","[-118.2436849 34.0522342, 0]"
Atlanta Hawks,Toronto Raptors,-16,"[-84.3879824 33.7489954, 0]","[-79.3831843 43.653226, 0]"
Boston Celtics,New York Knicks,-8,"[-71.0588801 42.3600825, 0]","[-74.0059728 40.7127753, 0]"
Chicago Bulls,Phoenix Suns,8,"[-87.6297982 41.8781136, 0]","[-112.0740373 33.4483771, 0]"
Charlotte Hornets,Indiana Pacers,18,"[-80.8431267 35.2270869, 0]","[-86.1349019 40.2671941, 0]"
Cleveland Cavaliers,Los Angeles Lakers,-4,"[-81.6943605 41.49932, 0]","[-118.2436849 34.0522342, 0]"
Dallas Mavericks,Brooklyn Nets,6,"[-96.7969879 32.7766642, 0]","[-73.9441579 40.6781784, 0]"
Golden State Warriors,Oklahoma City Thunder,-28,"[-122.4194155 37.7749295, 0]","[-97.5164276 35.4675602, 0]"
Houston Rockets,Detroit Pistons,2,"[-95.3698028 29.7604267, 0]","[-83.0457538 42.331427, 0]"
Milwaukee Bucks,Portland Trail Blazers,43,"[-87.9064736 43.0389025, 0]","[-122.6750261 45.5051064, 0]"
Minnesota Timberwolves,Denver Nuggets,-2,"[-94.6858998 46.729553, 0]","[-104.990251 39.7392358, 0]"
Philadelphia 76ers,New Orleans Pelicans,1,"[-75.1652215 39.9525839, 0]","[-90.0715323 29.9510658, 0]"
San Antonio Spurs,Memphis Grizzlies,-1,"[-98.4936282 29.4241219, 0]","[-90.0489801 35.1495343, 0]"
Utah Jazz,Sacramento Kings,-9,"[-111.0937311 39.3209801, 0]","[-121.4943996 38.5815719, 0]"
Atlanta Hawks,Boston Celtics,-18,"[-84.3879824 33.7489954, 0]","[-71.0588801 42.3600825, 0]"
Brooklyn Nets,Minnesota Timberwolves,-10,"[-73.9441579 40.6781784, 0]","[-94.6858998 46.729553, 0]"
Chicago Bulls,Miami Heat,-7,"[-87.6297982 41.8781136, 0]","[-80.1917902 25.7616798, 0]"
Denver Nuggets,Orlando Magic,25,"[-104.990251 39.7392358, 0]","[-81.3792365 28.5383355, 0]"
Detroit Pistons,Houston Rockets,5,"[-83.0457538 42.331427, 0]","[-95.3698028 29.7604267, 0]"
Golden State Warriors,Portland Trail Blazers,28,"[-122.4194155 37.7749295, 0]","[-122.6750261 45.5051064, 0]"
Indiana Pacers,San Antonio Spurs,-11,"[-86.1349019 40.2671941, 0]","[-98.4936282 29.4241219, 0]"
Los Angeles Clippers,Memphis Grizzlies,5,"[-118.2436849 34.0522342, 0]","[-90.0489801 35.1495343, 0]"
Los Angeles Lakers,Utah Jazz,7,"[-118.2436849 34.0522342, 0]","[-111.0937311 39.3209801, 0]"
Milwaukee Bucks,Phoenix Suns,-2,"[-87.9064736 43.0389025, 0]","[-112.0740373 33.4483771, 0]"
New York Knicks,New Orleans Pelicans,5,"[-74.0059728 40.7127753, 0]","[-90.0715323 29.9510658, 0]"
Oklahoma City Thunder,Charlotte Hornets,5,"[-97.5164276 35.4675602, 0]","[-80.8431267 35.2270869, 0]"
Philadelphia 76ers,Cleveland Cavaliers,-9,"[-75.1652215 39.9525839, 0]","[-81.6943605 41.49932, 0]"
Toronto Raptors,Washington Wizards,18,"[-79.3831843 43.653226, 0]","[-77.0368707 38.9071923, 0]"
Cleveland Cavaliers,Houston Rockets,9,"[-81.6943605 41.49932, 0]","[-95.3698028 29.7604267, 0]"
Dallas Mavericks,Boston Celtics,9,"[-96.7969879 32.7766642, 0]","[-71.0588801 42.3600825, 0]"
Golden State Warriors,Sacramento Kings,1,"[-122.4194155 37.7749295, 0]","[-121.4943996 38.5815719, 0]"
Milwaukee Bucks,San Antonio Spurs,6,"[-87.9064736 43.0389025, 0]","[-98.4936282 29.4241219, 0]"
Minnesota Timberwolves,Chicago Bulls,15,"[-94.6858998 46.729553, 0]","[-87.6297982 41.8781136, 0]"
Oklahoma City Thunder,Denver Nuggets,-7,"[-97.5164276 35.4675602, 0]","[-104.990251 39.7392358, 0]"
Washington Wizards,New Orleans Pelicans,10,"[-77.0368707 38.9071923, 0]","[-90.0715323 29.9510658, 0]"
Atlanta Hawks,Charlotte Hornets,1,"[-84.3879824 33.7489954, 0]","[-80.8431267 35.2270869, 0]"
Brooklyn Nets,Philadelphia 76ers,-2,"[-73.9441579 40.6781784, 0]","[-75.1652215 39.9525839, 0]"
Detroit Pistons,Phoenix Suns,11,"[-83.0457538 42.331427, 0]","[-112.0740373 33.4483771, 0]"
Los Angeles Lakers,Orlando Magic,-4,"[-118.2436849 34.0522342, 0]","[-81.3792365 28.5383355, 0]"
Memphis Grizzlies,New York Knicks,-5,"[-90.0489801 35.1495343, 0]","[-74.0059728 40.7127753, 0]"
Portland Trail Blazers,Los Angeles Clippers,-4,"[-122.6750261 45.5051064, 0]","[-118.2436849 34.0522342, 0]"
Sacramento Kings,Utah Jazz,-21,"[-121.4943996 38.5815719, 0]","[-111.0937311 39.3209801, 0]"
Toronto Raptors,Miami Heat,10,"[-79.3831843 43.653226, 0]","[-80.1917902 25.7616798, 0]"
Chicago Bulls,San Antonio Spurs,-1,"[-87.6297982 41.8781136, 0]","[-98.4936282 29.4241219, 0]"
Charlotte Hornets,Milwaukee Bucks,3,"[-80.8431267 35.2270869, 0]","[-87.9064736 43.0389025, 0]"
Cleveland Cavaliers,Minnesota Timberwolves,-7,"[-81.6943605 41.49932, 0]","[-94.6858998 46.729553, 0]"
Golden State Warriors,Orlando Magic,6,"[-122.4194155 37.7749295, 0]","[-81.3792365 28.5383355, 0]"
New Orleans Pelicans,Boston Celtics,-17,"[-90.0715323 29.9510658, 0]","[-71.0588801 42.3600825, 0]"
Utah Jazz,Indiana Pacers,-33,"[-111.0937311 39.3209801, 0]","[-86.1349019 40.2671941, 0]"
Washington Wizards,Houston Rockets,4,"[-77.0368707 38.9071923, 0]","[-95.3698028 29.7604267, 0]"
Denver Nuggets,Los Angeles Lakers,32,"[-104.990251 39.7392358, 0]","[-118.2436849 34.0522342, 0]"
Detroit Pistons,New York Knicks,7,"[-83.0457538 42.331427, 0]","[-74.0059728 40.7127753, 0]"
Memphis Grizzlies,Toronto Raptors,-8,"[-90.0489801 35.1495343, 0]","[-79.3831843 43.653226, 0]"
Miami Heat,Atlanta Hawks,-2,"[-80.1917902 25.7616798, 0]","[-84.3879824 33.7489954, 0]"
Phoenix Suns,Indiana Pacers,-5,"[-112.0740373 33.4483771, 0]","[-86.1349019 40.2671941, 0]"
Brooklyn Nets,Utah Jazz,-10,"[-73.9441579 40.6781784, 0]","[-111.0937311 39.3209801, 0]"
Charlotte Hornets,Atlanta Hawks,14,"[-80.8431267 35.2270869, 0]","[-84.3879824 33.7489954, 0]"
Houston Rockets,Dallas Mavericks,-20,"[-95.3698028 29.7604267, 0]","[-96.7969879 32.7766642, 0]"
Los Angeles Clippers,Phoenix Suns,16,"[-118.2436849 34.0522342, 0]","[-112.0740373 33.4483771, 0]"
Milwaukee Bucks,Chicago Bulls,3,"[-87.9064736 43.0389025, 0]","[-87.6297982 41.8781136, 0]"
Minnesota Timberwolves,San Antonio Spurs,39,"[-94.6858998 46.729553, 0]","[-98.4936282 29.4241219, 0]"
New Orleans Pelicans,Washington Wizards,21,"[-90.0715323 29.9510658, 0]","[-77.0368707 38.9071923, 0]"
Oklahoma City Thunder,Cleveland Cavaliers,17,"[-97.5164276 35.4675602, 0]","[-81.6943605 41.49932, 0]"
Philadelphia 76ers,New York Knicks,26,"[-75.1652215 39.9525839, 0]","[-74.0059728 40.7127753, 0]"
Portland Trail Blazers,Orlando Magic,3,"[-122.6750261 45.5051064, 0]","[-81.3792365 28.5383355, 0]"
Los Angeles Lakers,Indiana Pacers,8,"[-118.2436849 34.0522342, 0]","[-86.1349019 40.2671941, 0]"
Sacramento Kings,Los Angeles Clippers,-12,"[-121.4943996 38.5815719, 0]","[-118.2436849 34.0522342, 0]"
Toronto Raptors,Golden State Warriors,3,"[-79.3831843 43.653226, 0]","[-122.4194155 37.7749295, 0]"
Boston Celtics,Cleveland Cavaliers,33,"[-71.0588801 42.3600825, 0]","[-81.6943605 41.49932, 0]"
Brooklyn Nets,Memphis Grizzlies,-6,"[-73.9441579 40.6781784, 0]","[-90.0489801 35.1495343, 0]"
Charlotte Hornets,Utah Jazz,-8,"[-80.8431267 35.2270869, 0]","[-111.0937311 39.3209801, 0]"
Detroit Pistons,Chicago Bulls,19,"[-83.0457538 42.331427, 0]","[-87.6297982 41.8781136, 0]"
Los Angeles Lakers,Dallas Mavericks,11,"[-118.2436849 34.0522342, 0]","[-96.7969879 32.7766642, 0]"
Miami Heat,New Orleans Pelicans,5,"[-80.1917902 25.7616798, 0]","[-90.0715323 29.9510658, 0]"
Oklahoma City Thunder,Atlanta Hawks,15,"[-97.5164276 35.4675602, 0]","[-84.3879824 33.7489954, 0]"
Philadelphia 76ers,Washington Wizards,25,"[-75.1652215 39.9525839, 0]","[-77.0368707 38.9071923, 0]"
Phoenix Suns,Orlando Magic,-14,"[-112.0740373 33.4483771, 0]","[-81.3792365 28.5383355, 0]"
Portland Trail Blazers,Denver Nuggets,-1,"[-122.6750261 45.5051064, 0]","[-104.990251 39.7392358, 0]"
San Antonio Spurs,Houston Rockets,-31,"[-98.4936282 29.4241219, 0]","[-95.3698028 29.7604267, 0]"
Cleveland Cavaliers,Toronto Raptors,-11,"[-81.6943605 41.49932, 0]","[-79.3831843 43.653226, 0]"
Detroit Pistons,Golden State Warriors,9,"[-83.0457538 42.331427, 0]","[-122.4194155 37.7749295, 0]"
Houston Rockets,Chicago Bulls,16,"[-95.3698028 29.7604267, 0]","[-87.6297982 41.8781136, 0]"
Minnesota Timberwolves,Boston Celtics,-9,"[-94.6858998 46.729553, 0]","[-71.0588801 42.3600825, 0]"
New York Knicks,Milwaukee Bucks,2,"[-74.0059728 40.7127753, 0]","[-87.9064736 43.0389025, 0]"
Sacramento Kings,Indiana Pacers,1,"[-121.4943996 38.5815719, 0]","[-86.1349019 40.2671941, 0]"
Washington Wizards,Brooklyn Nets,14,"[-77.0368707 38.9071923, 0]","[-73.9441579 40.6781784, 0]"
Charlotte Hornets,New Orleans Pelicans,-10,"[-80.8431267 35.2270869, 0]","[-90.0715323 29.9510658, 0]"
Dallas Mavericks,Los Angeles Clippers,4,"[-96.7969879 32.7766642, 0]","[-118.2436849 34.0522342, 0]"
Los Angeles Lakers,Phoenix Suns,24,"[-118.2436849 34.0522342, 0]","[-112.0740373 33.4483771, 0]"
Miami Heat,Utah Jazz,2,"[-80.1917902 25.7616798, 0]","[-111.0937311 39.3209801, 0]"
Philadelphia 76ers,Memphis Grizzlies,8,"[-75.1652215 39.9525839, 0]","[-90.0489801 35.1495343, 0]"
San Antonio Spurs,Portland Trail Blazers,13,"[-98.4936282 29.4241219, 0]","[-122.6750261 45.5051064, 0]"
Atlanta Hawks,Golden State Warriors,-17,"[-84.3879824 33.7489954, 0]","[-122.4194155 37.7749295, 0]"
Brooklyn Nets,Cleveland Cavaliers,-2,"[-73.9441579 40.6781784, 0]","[-81.6943605 41.49932, 0]"
Detroit Pistons,Oklahoma City Thunder,-27,"[-83.0457538 42.331427, 0]","[-97.5164276 35.4675602, 0]"
Minnesota Timberwolves,Houston Rockets,12,"[-94.6858998 46.729553, 0]","[-95.3698028 29.7604267, 0]"
New Orleans Pelicans,Los Angeles Clippers,-3,"[-90.0715323 29.9510658, 0]","[-118.2436849 34.0522342, 0]"
New York Knicks,Washington Wizards,-3,"[-74.0059728 40.7127753, 0]","[-77.0368707 38.9071923, 0]"
Toronto Raptors,Denver Nuggets,-3,"[-79.3831843 43.653226, 0]","[-104.990251 39.7392358, 0]"
Dallas Mavericks,Portland Trail Blazers,9,"[-96.7969879 32.7766642, 0]","[-122.6750261 45.5051064, 0]"
Indiana Pacers,Chicago Bulls,6,"[-86.1349019 40.2671941, 0]","[-87.6297982 41.8781136, 0]"
Miami Heat,Orlando Magic,-15,"[-80.1917902 25.7616798, 0]","[-81.3792365 28.5383355, 0]"
